"11/02/2018 10:27:28 PM"
Place,Players,Time
1,darbian,4min:56sec:528ms
2,Kosmicd12,4min:56sec:545ms
3,somewes,4min:56sec:894ms
4,StuckInAPlate,4min:56sec:978ms
5,SMBMAST3R,4min:57sec:560ms
6,mav6771,4min:57sec:610ms
7,shroud522,4min:57sec:676ms
8,andrewg,4min:57sec:693ms
9,AD2,4min:57sec:710ms
10,Sten,4min:57sec:776ms
10,eddiecatgaming,4min:57sec:776ms
12,MaestroBrau,4min:57sec:976ms
13,Arcus,4min:58sec:342ms
14,Summoningsalt,4min:58sec:425ms
15,lackattack24,4min:58sec:525ms
16,DJ____AJ,4min:58sec:625ms
17,8Bit_Ethan,4min:58sec:708ms
18,gunlap,4min:58sec:808ms
19,Equanimity,4min:58sec:825ms
20,Pouilli,4min:58sec:858ms
21,goofychocobo,4min:58sec:874ms
22,ohon,4min:58sec:891ms
22,youtubeman06,4min:58sec:891ms
24,Demo,4min:58sec:924ms
25,SuperSonic71087,4min:58sec:974ms
